"index","title","pubmedId","issued","identifier"
0,"Dietary composition in Greenland 2000, plasma fatty acids and persistent organic pollutants.","15325148","2004-10-18T00:00:00Z","10.1016/j.scitotenv.2004.03.028"
1,"Applying COI Barcode to Identify Animal Origin of Food.","31120564","2019-08-19T00:00:00Z","10.1111/1750-3841.14627"
2,"Comparison of logistic regression and linear regression in modeling percentage data.","11319091","2001-09-06T00:00:00Z","10.1128/AEM.67.5.2129-2135.2001"
3,"New efficient amylase-producing strains of Lactobacillus plantarum and L. fermentum isolated from different Nigerian traditional fermented foods.","11843413","2002-06-27T00:00:00Z","10.1016/s0168-1605(01)00607-9"
4,"An example of the stages in the development of a predictive mathematical model for microbial growth: the effects of NaCl, pH and temperature on the growth of Aeromonas hydrophila.","7873337","1995-04-06T00:00:00Z","10.1016/0168-1605(94)90163-5"
5,"Tests of potential functional barriers for laminated multilayer food packages. Part II: Medium molecular weight permeants.","11091796","2000-12-13T00:00:00Z","10.1080/026520300415372"
6,"Development of a chemiluminescent aptasensor for ultrasensitive and selective detection of aflatoxin B1 in peanut and milk.","31122460","2019-06-17T00:00:00Z","10.1016/j.talanta.2019.03.109"
7,"Biosensors: applications for dairy food industry.","8227635","1993-12-21T00:00:00Z","10.3168/jds.S0022-0302(93)77650-X"
8,"Potential sources of 2-aminoacetophenone to confound the Pseudomonas aeruginosa breath test, including analysis of a food challenge study.","21701048","2012-04-26T00:00:00Z","10.1088/1752-7155/5/4/046002"
9,"Quantum Dots as Components of Electrochemical Sensing Platforms for the Detection of Environmental and Food Pollutants: a Review.","28623656","2017-12-27T00:00:00Z","10.5740/jaoacint.17-0169"
10,"Detection and quantification analysis of chemical migrants in plastic food contact products.","30517180","2019-05-13T00:00:00Z","10.1371/journal.pone.0208467"
11,"{'sub': '1', '#text': 'Comparison of Some ELISA Kits for Aflatoxin M Quantification.'}","30086820","2019-05-13T00:00:00Z","10.5740/jaoacint.18-0185"
12,"Evaluation of nanoflow liquid chromatography high resolution mass spectrometry for pesticide residue analysis in food.","28720221","2017-10-16T00:00:00Z","10.1016/j.chroma.2017.07.019"
13,"[Effect of gamma rays on T. ovis cysticerci].","3363100","1988-06-09T00:00:00Z",""
14,"[Effects of bagging on the microenvironment, yield and quality of overwintering tomato].","17615881","2007-11-01T00:00:00Z",""
15,"Occurrence of Bisphenol A and its analogues in some foodstuff marketed in Europe.","31201899","2019-09-09T00:00:00Z","10.1016/j.fct.2019.110575"
16,"Isolation and enumeration of Giardia cysts, cryptosporidium oocysts, and Ascaris eggs from fruits and vegetables.","10852573","2000-08-10T00:00:00Z","10.4315/0362-028x-63.6.775"
17,"Organisation of veterinary public health in Africa.","1525426","1992-10-20T00:00:00Z","10.20506/rst.11.1.595"
18,"Development of an agricultural biotechnology crop product: testing from discovery to commercialization.","23003210","2013-03-26T00:00:00Z","10.1021/jf302706e"
19,"Food safety implication: certain antibiotics may rapidly contaminate egg albumen during the process of its formation.","10890213","2000-11-03T00:00:00Z","10.1080/713654912"
20,"Evaluation of atmospheric pressure plasma to improve the safety of sliced cheese and ham inoculated by 3-strain cocktail Listeria monocytogenes.","19376467","2009-07-10T00:00:00Z","10.1016/j.fm.2009.02.010"
21,"Bactericidal effect of hydrogen peroxide on Salmonella typhimurium in liquid whole egg.","3553129","1987-06-01T00:00:00Z","10.1111/j.1365-2672.1987.tb02377.x"
22,"Alkaline-fermented foods: a review with emphasis on pidan fermentation.","8817079","1996-11-27T00:00:00Z","10.3109/10408419609106457"
23,"[Antibody neutralization test in brucellosis].","1217354","1976-04-29T00:00:00Z",""
24,"{'i': 'Escherichia coli', '#text': 'Surveillance for enterotoxigenic & enteropathogenic  isolates from animal source foods in Northwest Iran.'}","31571634","2020-04-06T00:00:00Z","10.4103/ijmr.IJMR_2019_17"
25,"Reduced blood flow to peripheral and core body tissues in sheep and cattle induced by endophyte-infected tall fescue.","2066313","1991-08-15T00:00:00Z","10.2527/1991.6952033x"
26,"Food-borne botulism in the United Kingdom.","16917124","2007-03-08T00:00:00Z","10.1093/pubmed/fdl053"
27,"Insecticidal effects of extracts of Humulus lupulus (hops) L. cones and its principal component, xanthohumol.","28330519","2017-11-20T00:00:00Z","10.1017/S0007485317000256"
28,"Depletion of gentamicin in the milk of Holstein cows after single and repeated intramammary and parenteral treatments.","8789700","1996-10-22T00:00:00Z","10.1111/j.1365-2885.1995.tb00626.x"
29,"Assessment of metal status in drainage canal water and their bioaccumulation in Oreochromis niloticus fish in relation to human health.","22451326","2013-05-24T00:00:00Z","10.1007/s10661-012-2599-8"
30,"Glutamate dehydrogenase activity in lactobacilli and the use of glutamate dehydrogenase-producing adjunct Lactobacillus spp. cultures in the manufacture of cheddar cheese.","17040230","2007-08-10T00:00:00Z","10.1111/j.1365-2672.2006.03017.x"
31,"Survival of Escherichia coli O157:H7 in full- and reduced-fat pepperoni after manufacture of sticks, storage of slices at 4 degrees C or 21 degrees C under air and vacuum, and baking of slices on frozen pizza at 135, 191 and 246 degrees C.","9709198","1998-09-17T00:00:00Z","10.4315/0362-028x-61.4.383"
32,"Simultaneous determination of ten steroid hormones in animal origin food by matrix solid-phase dispersion and liquid chromatography-electrospray tandem mass spectrometry.","24001828","2014-02-13T00:00:00Z","10.1016/j.foodchem.2013.06.104"
33,"Detection of Coxiella burnetii in market chicken eggs and mayonnaise.","17114764","2007-01-23T00:00:00Z","10.1196/annals.1374.096"
34,"Assessing the Performance of Clostridium perfringens Cooling Models for Cooked, Uncured Meat and Poultry Products.","26219365","2016-03-25T00:00:00Z","10.4315/0362-028X.JFP-15-015"
35,"[Contribution to the epidemiology of Campylobacter jejuni. From asymptomatic excretion by a cow in the cowshed to overt disease in over 500 persons].","6836250","1983-05-27T00:00:00Z",""
36,"Bacterial contamination of blenderized whole food and commercial enteral tube feedings in the Philippines.","11740875","2002-02-12T00:00:00Z","10.1053/jhin.2001.1093"
37,"Fusarium avenaceum -- the North European situation.","17884217","2008-02-01T00:00:00Z","10.1016/j.ijfoodmicro.2007.07.021"
38,"Genetic instability is associated with changes in the colonization potential of Campylobacter jejuni in the avian intestine.","18298527","2008-12-19T00:00:00Z","10.1111/j.1365-2672.2008.03759.x"
39,"Bacillus cereus endospores exhibit a heterogeneous response to heat treatment and low-temperature storage.","18206765","2008-02-08T00:00:00Z","10.1016/j.fm.2007.11.004"
40,"A novel FRET-based optical fiber biosensor for rapid detection of Salmonella typhimurium.","16040238","2006-03-17T00:00:00Z","10.1016/j.bios.2005.05.017"
41,"Molecular and biochemical properties of the S-layer protein from the wine bacterium Lactobacillus hilgardii B706.","21221529","2011-05-24T00:00:00Z","10.1007/s00203-010-0670-9"
42,"The effect of the dye-marking of mastitis remedies on the incidence of antibiotic residues in Pretoria's market milk supplies.","551198","1980-11-20T00:00:00Z",""
43,"Growth and survival of Enterobacteriaceae and inoculated Salmonella on walnut hulls and maturing walnut fruit.","25198836","2015-05-21T00:00:00Z","10.4315/0362-028X.JFP-14-075"
44,"Microbiological analysis of bovine lymph nodes for the detection of Salmonella enterica.","22564933","2012-06-22T00:00:00Z","10.4315/0362-028X.JFP-11-434"
45,"Simultaneous Analysis of Multiple Allergens in Food Products by LC-MS/MS.","29202922","2018-08-17T00:00:00Z","10.5740/jaoacint.17-0403"
46,"Carry-over and contamination of veterinary drugs in feed production lines for poultry and pigs.","30958142","2019-06-10T00:00:00Z","10.1080/19440049.2019.1585580"
47,"Association between the Hygiene Index Values of Live Fresh Aquatic Products and Food-Borne Diarrhea in the Population of the Ningbo Area in China.","26258783","2016-03-07T00:00:00Z","10.3390/ijerph120809154"
48,"The microbiology of beef carcasses and primals during chilling and commercial storage.","27697169","2017-03-06T00:00:00Z","10.1016/j.fm.2016.08.003"
49,"Tetragenococcus halophilus MJ4 as a starter culture for repressing biogenic amine (cadaverine) formation during saeu-jeot (salted shrimp) fermentation.","31027807","2019-08-07T00:00:00Z","10.1016/j.fm.2019.02.017"
